namespace,key,context,tr
component.sections.guarantee,ayni_tarih_ayni_hizmet_daha,jsx,"Aynı tarih, aynı hizmet için daha düşük fiyatlı bir teklif kanıtlayın
          — o fiyatın"
component.sections.guarantee,bizden_daha_ucuzunu,jsx,Bizden Daha Ucuzunu
component.sections.guarantee,buldunuz,jsx,Buldunuz mu?
component.sections.loyalty,hemen_rezervasyon_yap,jsx,Hemen Rezervasyon Yap
component.sections.loyalty,her_rezervasyon_sonraki_tatile,jsx,"Her rezervasyon, bir sonraki tatile yatirim"
component.sections.loyalty,hosgeldin_bonusu_ilk,jsx,Hosgeldin bonusu: Ilk rezervasyonda +
component.sections.loyalty,puan_mobil_uygulama,jsx,puan. Mobil uygulama: +
component.sections.loyalty,puan_yorum_bonusu,jsx,"puan.
          Yorum bonusu: +"
component.sections.loyalty,puanlarima_bak,jsx,Puanlarima Bak
component.sections.loyalty,sadakat_programi,jsx,Sadakat Programi
component.sections.loyalty,trip_tick_uzerinden_yaptiginiz,jsx,"Trip and Tick uzerinden yaptiginiz her odeme puan kazandirir. Puanlarinizla indirim
            kullanin, tier yukseltin, arkadaslarinizi davet ederek ekstra puan kazanin."
component.sections.newsletter,bulten,jsx,Bülten
component.sections.reviews,musteri_yorumlari,jsx,Müşteri Yorumları
component.sections.reviews,trip_tick_guvenenlerin_gercek,jsx,Trip and Tick'e güvenenlerin gerçek deneyimleri
component.sections.reviews,trip_tick_yasadiginiz_deneyimi,jsx,Trip and Tick ile yaşadığınız deneyimi paylaşın
component.sections.reviews,yorumunuzu_yazin,jsx,Yorumunuzu Yazın
component.sections.steps,hizli_kolay_guvenli_karmasik,jsx,"Hızlı, kolay ve güvenli. Karmaşık süreç yok."
component.sections.steps,nasil_calisir,jsx,Nasıl Çalışır?
component.sections.steps,rezervasyon_dakikada,jsx,Rezervasyon 5 Dakikada
page.aktiviteler,birden_fazla_aktivite_ister,jsx,Birden fazla aktivite ister misiniz? Avantajlı paketlerimize bakın.
page.aktiviteler,kombo_paketleri_gor,jsx,Kombo Paketleri Gör
page.aktiviteler,meta_desc,metadata,"Kapadokya'da yapılacak en iyi aktiviteler: ATV turları, at binme, jeep safari. Rehberli, sigortalı, otel transferi dahil. Anında rezervasyon."
page.aktiviteler,meta_desc_2,metadata,"ATV, at binme, jeep safari — rehberli & sigortalı."
page.aktiviteler,meta_og_alt,metadata,Kapadokya Aktiviteleri — Trip and Tick
page.aktiviteler,meta_title,metadata,"Kapadokya Aktiviteleri — ATV, At Binme, Jeep Safari | Trip and Tick"
page.aktiviteler,meta_title_2,metadata,Kapadokya Aktiviteleri
page.aktiviteler,pagehero_description_atv_turlari,PageHero@description,"ATV turları, at binme deneyimleri ve jeep safari. Profesyonel rehberler, tam sigortalı, otel transferi dahil. €29'dan başlayan fiyatlar."
page.aktiviteler,pagehero_highlight_macera,PageHero@highlight,Macera Aktiviteleri
page.aktiviteler,pagehero_title_kapadokya,PageHero@title,Kapadokya
page.ara,meta_desc,metadata,"Trip and Tick katalogunda balon turu, otel, aktivite, gezi turu, paket ve transfer arayın. Fiyat, puan, süre ve para birimine göre filtreleyin."
page.ara,yukleniyor,jsx,Yükleniyor…
page.b2b,acente_basvuru_formu,jsx,Acente Başvuru Formu
page.b2b,api_key,jsx,API Key:
page.b2b,b2b_giris,jsx,B2B Giriş
page.b2b,basvurunuzu_24_saat_icinde,jsx,"Başvurunuzu 24 saat içinde inceleyip API key ve ön onay belgesini
              e-posta ile iletiyoruz. Lisans belgesi sonradan yüklenebilir."
page.b2b,dashboard_giris_yapip,jsx,"Dashboard'a giriş yapıp rezervasyonlarınızı yönetin, API key
                ve fatura raporlarınıza erişin."
page.b2b,kapadokya_envanterinde_en_guclu,jsx,Kapadokya envanterinde en güçlü partner ağıyla acenteniz için maksimum kâr marjı.
page.b2b,meta_desc,metadata,"Seyahat acenteleri için B2B programı: %12-18 komisyon, REST API erişimi, özel hesap yöneticisi, kredi limiti, çoklu para birimi."
page.b2b,meta_desc_2,metadata,Toplu fiyat · REST API · %12-18 komisyon · Özel destek.
page.b2b,meta_title,metadata,B2B Acente Programı — Toplu Fiyat & API | Trip and Tick
page.b2b,meta_title_2,metadata,Trip and Tick B2B Acente Programı
page.b2b,neden_trip_tick_b2b,jsx,Neden Trip and Tick B2B?
page.b2b,pagehero_description_seyahat,PageHero@description,"Seyahat acenteleri ve tur operatörleri için özel komisyon, REST API erişimi ve kredi limiti. 50+ ülkeden 200+ partner acente."
page.b2b,pagehero_highlight_programi,PageHero@highlight,Programı
page.b2b,pagehero_tag_acente_programi,PageHero@tag,Acente Programı
page.b2b,pagehero_title_b2b_acente,PageHero@title,B2B Acente
page.b2b,zaten_acente_misiniz,jsx,Zaten acente misiniz?
page.balonlar,40m_sigorta,jsx,40M€ sigorta
page.balonlar,anlasmali_10_tursab_lisansli,jsx,Anlaşmalı 10 TÜRSAB Lisanslı Operatör
page.balonlar,balon_turu_hakkinda_sik_sorulan,jsx,Balon Turu Hakkında Sık Sorulan Sorular
page.balonlar,kisi,jsx,kişi
page.balonlar,kisiye_ozel_teklif,jsx,Kişiye özel teklif
page.balonlar,meta_desc,metadata,"Kapadokya balon turu €165'ten başlar. Standart, Konfor, Deluxe ve Romantik özel paketler. 9+ TÜRSAB lisanslı operatör, %100 iade garantisi, en düşük fiyat garantisi."
page.balonlar,meta_desc_2,metadata,"€165'ten başlayan paketler. 9+ operatör, %100 iade garantisi."
page.balonlar,meta_og_alt,metadata,Kapadokya Balon Turu — Trip and Tick
page.balonlar,meta_title,metadata,Kapadokya Balon Turu Fiyatları 2026 — Trip and Tick
page.balonlar,meta_title_2,metadata,Kapadokya Balon Turu Fiyatları 2026
page.balonlar,operatorler,jsx,Operatörler
page.balonlar,ozel_fiyat_sorunuz,jsx,Özel fiyat sorunuz
page.balonlar,pagehero_description_tursab_lisansli,PageHero@description,"9+ TÜRSAB lisanslı operatörle anlaşmalı doğrudan acentelik. En düşük fiyat garantisi, %100 iade güvencesi, 40 milyon Euro sigorta."
page.balonlar,pagehero_tag_balon_turlari,PageHero@tag,Balon Turları
page.balonlar,pagehero_title_kapadokya_balon,PageHero@title,Kapadokya Balon Turu
page.balonlar,paket,jsx,4 Paket
page.balonlar,paket_karsilastirmasi,jsx,Paket Karşılaştırması
page.balonlar,sadece_sivil_havacilik_genel,jsx,"Sadece Sivil Havacılık Genel Müdürlüğü lisanslı, en az 5 yıl deneyimli
              operatörlerle çalışıyoruz. Aracı komisyonu yok — fiyat direkt operatörden."
page.balonlar,standart_ekonomik_ucustan,jsx,"Standart ekonomik uçuştan romantik özel sepete kadar her bütçeye uygun
              seçenekler. Tüm fiyatlara transfer, kahvaltı, sigorta, sertifika ve
              şampanya servisi dahildir."
page.balonlar.slug,3d_secure_odeme,jsx,3D Secure ödeme
page.balonlar.slug,40m_ucus_sigortasi,jsx,40M€ uçuş sigortası
page.balonlar.slug,beri,jsx,'den beri
page.balonlar.slug,daha_ucuz_en_dusuk_fiyat,jsx,daha ucuz · En düşük fiyat garantisi
page.balonlar.slug,dahil_degil,jsx,Dahil Değil
page.balonlar.slug,fiyata_dahil,jsx,Fiyata Dahil
page.balonlar.slug,kisi,jsx,kişi
page.balonlar.slug,kisi_basi,jsx,Kişi başı
page.balonlar.slug,meta_title,metadata,Paket Bulunamadı
page.balonlar.slug,min_yas,jsx,Min. yaş
page.balonlar.slug,onemli_uyarilar_saglik_kosullari,jsx,Önemli Uyarılar & Sağlık Koşulları
page.balonlar.slug,paketteki_operatorler,jsx,Bu Paketteki Operatörler
page.balonlar.slug,sepet,jsx,Sepet
page.balonlar.slug,sigorta,jsx,Sigorta
page.balonlar.slug,sik_sorulan_sorular,jsx,Sık Sorulan Sorular
page.balonlar.slug,soru_sor_whatsapp_email,jsx,Soru sor → WhatsApp / Email
page.balonlar.slug,sure,jsx,Süre
page.balonlar.slug,tarih_sec_rezerve_et,jsx,Tarih Seç & Rezerve Et
page.balonlar.slug,tarih_seciminde_gunluk_doluluk,jsx,Tarih seçiminde günlük doluluk anında kontrol edilir.
page.blog,balon_turlari_gezi_rotalari_otel,jsx,"Balon turları, gezi rotaları, otel tavsiyeleri ve daha fazlası.
            Kapadokya seyahatiniz için ihtiyacınız olan her şey burada."
page.blog,blog_rehber,jsx,Blog & Rehber
page.blog,devamini_oku,jsx,Devamını Oku
page.blog,henuz_blog_yazisi_yok,jsx,Henüz Blog Yazısı Yok
page.blog,kapadokya_hakkinda_her_sey,jsx,Kapadokya Hakkında Her Şey
page.blog,kapadokya_seyahat,jsx,Kapadokya Seyahat
page.blog,kapadokya_turkiye_nin_nevsehir,jsx,"Kapadokya, Türkiye'nin Nevşehir ilinde yer alan UNESCO Dünya Mirası listesindeki
              eşsiz bir bölgedir. Peri bacaları, yer altı şehirleri ve sıcak hava balon turlarıyla
              dünya genelinde tanınan Kapadokya, her yıl milyonlarca turisti ağırlamaktadır."
page.blog,meta_desc,metadata,"Kapadokya balon turu, gezi rehberi, aktiviteler ve otel tavsiyeleri hakkında en güncel blog yazıları. Fiyatlar, ipuçları ve deneyimler."
page.blog,meta_desc_2,metadata,"Balon turu, gezi rehberi, aktiviteler — fiyatlar ve ipuçları."
page.blog,meta_og_alt,metadata,Trip and Tick — Blog
page.blog,meta_title,metadata,Blog — Kapadokya Seyahat Rehberi | Trip and Tick
page.blog,meta_title_2,metadata,Blog — Kapadokya Seyahat Rehberi
page.blog,seo_agent_yakinda_kapadokya,jsx,"SEO Agent yakında Kapadokya seyahati hakkında faydalı blog yazıları oluşturacak.
              Tekrar kontrol edin!"
page.blog,trip_tick_olarak_kapadokya_daki,jsx,"Trip and Tick olarak, Kapadokya'daki en güvenilir operatörlerle çalışarak size en
              uygun fiyatlarla unutulmaz deneyimler sunuyoruz. 9+ anlaşmalı balon operatörü, en düşük
              fiyat garantisi ve %100 hava iptali iade politikamızla güvenle rezervasyon yapabilirsiniz."
page.blog,tumu,jsx,Tümü (
page.blog.slug,blog_don,jsx,Blog'a Dön
page.blog.slug,dk_okuma,jsx,dk okuma
page.blog.slug,en_uygun_fiyatlarla_balon_turu,jsx,"En uygun fiyatlarla balon turu, aktivite ve otel rezervasyonu yapın."
page.blog.slug,hemen_rezervasyon_yap,jsx,Hemen Rezervasyon Yap
page.blog.slug,ilgili_yazilar,jsx,İlgili Yazılar
page.blog.slug,kapadokya_yi_kesfetmeye_hazir,jsx,Kapadokya'yı Keşfetmeye Hazır mısınız?
page.blog.slug,meta_title,metadata,Yazı Bulunamadı
page.blog.slug,trip_tick,jsx,Trip and Tick
page.cerez_politikasi,12_ay_onay_geri_cekildiginde,jsx,12 ay; onay geri çekildiğinde anında silinir.
page.cerez_politikasi,30_gun_24_ay_arasi,jsx,30 gün ile 24 ay arası.
page.cerez_politikasi,analitik_ga4,jsx,Analitik (GA4):
page.cerez_politikasi,ayarlar_cerezler_site_izinleri,jsx,Ayarlar → Çerezler ve site izinleri.
page.cerez_politikasi,ayarlar_gizlilik_guvenlik,jsx,Ayarlar → Gizlilik ve güvenlik → Çerezler.
page.cerez_politikasi,bazi_cerezler_ucuncu_taraf,jsx,Bazı çerezler üçüncü taraf servisleri tarafından yerleştirilir:
page.cerez_politikasi,brevo_posta_acma_takibi,jsx,Brevo (e-posta açma takibi)
page.cerez_politikasi,cerez_nedir,jsx,Çerez Nedir?
page.cerez_politikasi,cerez_yonetimi,jsx,Çerez Yönetimi
page.cerez_politikasi,cerezler_cookies_web_siteleri,jsx,"Çerezler (cookies), web siteleri ziyaret edildiğinde tarayıcınızda saklanan
            küçük metin dosyalarıdır. Tercihleri hatırlamak, analitik veri toplamak ve
            kullanıcı deneyimini iyileştirmek için kullanılır."
page.cerez_politikasi,cerezleri_yonetmek_yolunuz_var,jsx,Çerezleri yönetmek için 2 yolunuz var:
page.cerez_politikasi,cloudflare_guvenlik_performans,jsx,Cloudflare (güvenlik & performans)
page.cerez_politikasi,degisiklikler,jsx,Değişiklikler
page.cerez_politikasi,google_analytics_analitik,jsx,Google Analytics 4 (analitik)
page.cerez_politikasi,google_chrome,jsx,Google Chrome:
page.cerez_politikasi,info_tripandtick_com_adresinden,jsx,info@tripandtick.com adresinden bize ulaşın.
page.cerez_politikasi,kalici_cerezler,jsx,Kalıcı çerezler:
page.cerez_politikasi,kullandigimiz_cerez_kategorileri,jsx,Kullandığımız Çerez Kategorileri
page.cerez_politikasi,maksimum_14_ay,jsx,maksimum 14 ay.
page.cerez_politikasi,meta_desc,metadata,"Trip and Tick çerez politikası: zorunlu, analitik, fonksiyonel ve pazarlama çerezleri. Çerez yönetimi ve tarayıcı ayarları rehberi."
page.cerez_politikasi,meta_desc_2,metadata,"Zorunlu, analitik, fonksiyonel ve pazarlama çerezleri rehberi."
page.cerez_politikasi,meta_title,metadata,Çerez Politikası — Trip and Tick
page.cerez_politikasi,meta_title_2,metadata,Çerez Politikası
page.cerez_politikasi,microsoft_edge,jsx,Microsoft Edge:
page.cerez_politikasi,mozilla_firefox,jsx,Mozilla Firefox:
page.cerez_politikasi,onemli,jsx,Önemli:
page.cerez_politikasi,ornekler,jsx,Örnekler:
page.cerez_politikasi,oturum_cerezleri,jsx,Oturum çerezleri:
page.cerez_politikasi,pagehero_description_trip_tick,PageHero@description,"Trip and Tick çerez kullanımı hakkında şeffaf bilgilendirme. Hangi çerezleri ne için kullanıyoruz, nasıl yönetebilirsiniz."
page.cerez_politikasi,pagehero_highlight_politikasi,PageHero@highlight,Politikası
page.cerez_politikasi,pagehero_title_cerez,PageHero@title,Çerez
page.cerez_politikasi,politikayi_guncelledigimizde,jsx,"Bu politikayı güncellediğimizde sayfanın üst kısmında yer alan tarih
            değişir. Önemli değişikliklerde aktif kullanıcılara e-posta gönderilir."
page.cerez_politikasi,saklama_sureleri,jsx,Saklama Süreleri
page.cerez_politikasi,sayfanin_altindaki_cerez,jsx,"sayfanın altındaki ""Çerez Ayarları""
              linkine tıklayarak kategori bazında onay verin/iptal edin."
page.cerez_politikasi,site_ici_tercih_merkezi,jsx,Site içi tercih merkezi:
page.cerez_politikasi,sorulariniz_var,jsx,Sorularınız mı var?
page.cerez_politikasi,stripe_odeme_guvenligi,jsx,Stripe (ödeme güvenliği)
page.cerez_politikasi,tarayici_ayarlari,jsx,Tarayıcı ayarları:
page.cerez_politikasi,tarayici_cerez_ayarlari_rehberi,jsx,Tarayıcı Çerez Ayarları Rehberi
page.cerez_politikasi,tarayici_kapatildiginda_silinir,jsx,tarayıcı kapatıldığında silinir.
page.cerez_politikasi,tarayicinizdan_tum_cerezleri,jsx,"tarayıcınızdan tüm çerezleri silebilir
              veya engelleyebilirsiniz."
page.cerez_politikasi,tercihler_gizlilik_cerezler,jsx,Tercihler → Gizlilik → Çerezler ve site verisi.
page.cerez_politikasi,tercihler_gizlilik_guvenlik,jsx,Tercihler → Gizlilik ve Güvenlik.
page.cerez_politikasi,ucuncu_taraf_cerezleri,jsx,Üçüncü Taraf Çerezleri
page.cerez_politikasi,yururluk_tarihi_mayis_2026_son,jsx,Yürürlük tarihi: 1 Mayıs 2026 · Son güncelleme: 15 Mayıs 2026
page.cerez_politikasi,zorunlu_cerezleri_kapatirsaniz,jsx,"Zorunlu çerezleri kapatırsanız site doğru
              çalışmayabilir (örn. ödeme adımı, oturum süresi)."
page.gizlilik_politikasi,10_degisiklikler,jsx,10. Değişiklikler
page.gizlilik_politikasi,30_gun_icinde,jsx,30 gün içinde
page.gizlilik_politikasi,ad_soyad_dogum_tarihi_yas,jsx,"ad, soyad, doğum tarihi (yaş kontrolü), uyruk."
page.gizlilik_politikasi,asagidaki_veri_kategorilerini,jsx,Aşağıdaki veri kategorilerini topluyoruz:
page.gizlilik_politikasi,basvuru,jsx,7. Başvuru
page.gizlilik_politikasi,brevo_transactional_marketing,jsx,Brevo (transactional + marketing).
page.gizlilik_politikasi,cerez_politikasi,jsx,Çerez Politikası
page.gizlilik_politikasi,cerez_verisi_12_aya_kadar,jsx,Çerez verisi: 12 aya kadar.
page.gizlilik_politikasi,cerezler,jsx,9. Çerezler
page.gizlilik_politikasi,eksik_yanlis_islenmisse,jsx,Eksik/yanlış işlenmişse düzeltilmesini isteme.
page.gizlilik_politikasi,guvenlik,jsx,8. Güvenlik
page.gizlilik_politikasi,haklarinizi_kullanmak_info,jsx,"Haklarınızı kullanmak için info@tripandtick.com adresine kimliğinizi
            doğrulayan belgelerle birlikte yazılı başvuru yapabilirsiniz. En geç"
page.gizlilik_politikasi,hizmet_iyilestirme_anonim,jsx,"Hizmet iyileştirme, anonim analitik."
page.gizlilik_politikasi,iletisim,jsx,İletişim:
page.gizlilik_politikasi,iletisim_2,jsx,İletişim
page.gizlilik_politikasi,ip_tarayici_cihaz_cerez_verisi,jsx,"IP, tarayıcı, cihaz, çerez verisi."
page.gizlilik_politikasi,islem,jsx,İşlem:
page.gizlilik_politikasi,isleme_aktarildigi_taraflara,jsx,İşleme aktarıldığı taraflara bildirilmesini isteme.
page.gizlilik_politikasi,isleme_amacini_uygunlugunu,jsx,İşleme amacını ve uygunluğunu sorgulama.
page.gizlilik_politikasi,isleme_amaclari,jsx,3. İşleme Amaçları
page.gizlilik_politikasi,islenmisse_buna_iliskin_bilgi,jsx,İşlenmişse buna ilişkin bilgi talep etme.
page.gizlilik_politikasi,kisisel_verilerinizin_islenip,jsx,Kişisel verilerinizin işlenip işlenmediğini öğrenme.
page.gizlilik_politikasi,kullanici_haklari_kvkk_11,jsx,6. Kullanıcı Hakları (KVKK m.11)
page.gizlilik_politikasi,kvkk_kapsaminda_asagidaki,jsx,KVKK kapsamında aşağıdaki haklara sahipsiniz:
page.gizlilik_politikasi,meta_desc,metadata,"Trip and Tick gizlilik politikası: kişisel verilerin toplanması, kullanımı, saklanması ve kullanıcı hakları. KVKK ve GDPR uyumlu işleme."
page.gizlilik_politikasi,meta_desc_2,metadata,KVKK ve GDPR uyumlu veri işleme politikamız.
page.gizlilik_politikasi,meta_og_alt,metadata,Gizlilik Politikası — Trip and Tick
page.gizlilik_politikasi,meta_title,metadata,Gizlilik Politikası — KVKK Uyumlu | Trip and Tick
page.gizlilik_politikasi,meta_title_2,metadata,Gizlilik Politikası — KVKK Uyumlu
page.gizlilik_politikasi,musteri_destegi_sikayet_yonetimi,jsx,Müşteri desteği ve şikayet yönetimi.
page.gizlilik_politikasi,odeme_fatura_islemleri_vergi,jsx,Ödeme ve fatura işlemleri (vergi mevzuatı).
page.gizlilik_politikasi,odeme_saglayicisi,jsx,Ödeme sağlayıcısı:
page.gizlilik_politikasi,odeme_tutari_para_birimi_kart,jsx,"ödeme tutarı, para birimi. Kart bilgileri Trip and Tick'te saklanmaz — Stripe altyapısı kullanılır."
page.gizlilik_politikasi,operatorler,jsx,Operatörler:
page.gizlilik_politikasi,otomatik_sistemlerle_cikan,jsx,Otomatik sistemlerle çıkan sonuca itiraz etme.
page.gizlilik_politikasi,pagehero_description_kisisel,PageHero@description,"Kişisel verilerinizi nasıl topladığımız, kullandığımız ve koruduğumuz hakkında şeffaf bilgilendirme. KVKK (6698) ve GDPR uyumlu."
page.gizlilik_politikasi,pagehero_highlight_politikasi,PageHero@highlight,Politikası
page.gizlilik_politikasi,pagehero_title_gizlilik,PageHero@title,Gizlilik
page.gizlilik_politikasi,pazarlama_iletisimi_sadece_acik,jsx,Pazarlama iletişimi (sadece açık onay halinde).
page.gizlilik_politikasi,pazarlama_izni_iptal_edilene,jsx,Pazarlama izni: iptal edilene kadar.
page.gizlilik_politikasi,politikayi_zaman_zaman,jsx,"Bu politikayı zaman zaman güncelleyebiliriz. Önemli değişikliklerde size
            e-posta ile bildirim yaparız. Devam eden kullanım güncellenmiş politikayı
            kabul anlamına gelir."
page.gizlilik_politikasi,posta_adresi_telefon_numarasi,jsx,"e-posta adresi, telefon numarası, otel adresi."
page.gizlilik_politikasi,posta_servisi,jsx,E-posta servisi:
page.gizlilik_politikasi,resmi_makamlar,jsx,Resmi makamlar:
page.gizlilik_politikasi,rezervasyon_fatura_verileri_10,jsx,Rezervasyon ve fatura verileri: 10 yıl (vergi mevzuatı).
page.gizlilik_politikasi,rezervasyon_gecmisi_tercihler,jsx,"rezervasyon geçmişi, tercihler, özel istekler."
page.gizlilik_politikasi,rezervasyon_isleme_operatore,jsx,Rezervasyon işleme ve operatöre bildirim.
page.gizlilik_politikasi,rezervasyon_yaptiginiz_operator,jsx,rezervasyon yaptığınız operatör (sadece o rezervasyon için gerekli minimum bilgi).
page.gizlilik_politikasi,saklama_sureleri,jsx,5. Saklama Süreleri
page.gizlilik_politikasi,sayfamiza_bakin,jsx,sayfamıza bakın.
page.gizlilik_politikasi,silinmesini_yok_edilmesini,jsx,Silinmesini veya yok edilmesini isteme.
page.gizlilik_politikasi,sitemiz_cerez_kullanir_detay,jsx,Sitemiz çerez kullanır. Detay için
page.gizlilik_politikasi,sorulariniz,jsx,Sorularınız için:
page.gizlilik_politikasi,sozlesmesiz_iletisim_yil,jsx,Sözleşmesiz iletişim: 2 yıl.
page.gizlilik_politikasi,stripe_pci_dss_uyumlu,jsx,Stripe (PCI-DSS uyumlu).
page.gizlilik_politikasi,toplanan_kisisel_veriler,jsx,2. Toplanan Kişisel Veriler
